STN,YYYYMMDD,FHVEC
  240,19920301,   51
  240,19920302,   82
  240,19920303,   82
  240,19920304,   31
  240,19920305,   46
  240,19920306,   51
  240,19920307,   46
  240,19920308,   21
  240,19920309,   10
  240,19920310,   72
  240,19920311,   87
  240,19920312,  139
  240,19920313,  113
  240,19920314,   77
  240,19920315,   72
  240,19920316,   26
  240,19920317,   26
  240,19920318,   51
  240,19920319,   41
  240,19920320,   87
  240,19920321,  103
  240,19920322,   31
  240,19920323,   26
  240,19920324,   82
  240,19920325,   21
  240,19920326,   26
  240,19920327,   57
  240,19920328,   72
  240,19920329,   36
  240,19920330,   62
  240,19920331,   21
  240,19920401,   31
  240,19920402,   26
  240,19920403,   41
  240,19920404,   46
  240,19920405,   36
  240,19920406,   36
  240,19920407,   31
  240,19920408,   51
  240,19920409,   36
  240,19920410,   10
  240,19920411,   10
  240,19920412,   51
  240,19920413,   82
  240,19920414,   72
  240,19920415,   57
  240,19920416,   82
  240,19920417,   41
  240,19920418,   67
  240,19920419,   62
  240,19920420,   15
  240,19920421,   26
  240,19920422,   31
  240,19920423,   51
  240,19920424,   62
  240,19920425,   62
  240,19920426,   77
  240,19920427,  103
  240,19920428,   10
  240,19920429,   36
  240,19920430,   72
  240,19920501,   51
  240,19920502,   41
  240,19920503,   36
  240,19920504,   10
  240,19920505,   21
  240,19920506,   46
  240,19920507,   62
  240,19920508,   82
  240,19920509,   57
  240,19920510,   31
  240,19920511,   31
  240,19920512,   93
  240,19920513,   21
  240,19920514,   51
  240,19920515,   41
  240,19920516,   57
  240,19920517,   57
  240,19920518,   51
  240,19920519,   51
  240,19920520,   36
  240,19920521,   31
  240,19920522,   31
  240,19920523,   46
  240,19920524,   31
  240,19920525,   36
  240,19920526,   72
  240,19920527,   77
  240,19920528,   72
  240,19920529,   41
  240,19920530,   21
  240,19920531,   31
  240,19920601,   41
  240,19920602,   26
  240,19920603,   31
  240,19920604,   41
  240,19920605,   21
  240,19920606,   10
  240,19920607,   10
  240,19920608,   26
  240,19920609,   26
  240,19920610,   57
  240,19920611,   62
  240,19920612,   36
  240,19920613,   21
  240,19920614,   26
  240,19920615,   15
  240,19920616,   77
  240,19920617,   62
  240,19920618,   51
  240,19920619,   41
  240,19920620,   82
  240,19920621,   41
  240,19920622,   21
  240,19920623,   36
  240,19920624,   46
  240,19920625,   41
  240,19920626,   31
  240,19920627,   36
  240,19920628,   26
  240,19920629,   26
  240,19920630,   10
  240,19920701,   41
  240,19920702,   36
  240,19920703,   10
  240,19920704,   21
  240,19920705,   51
  240,19920706,   77
  240,19920707,   36
  240,19920708,   21
  240,19920709,    5
  240,19920710,   31
  240,19920711,   26
  240,19920712,   46
  240,19920713,   77
  240,19920714,   57
  240,19920715,   10
  240,19920716,   15
  240,19920717,   51
  240,19920718,   62
  240,19920719,   46
  240,19920720,    5
  240,19920721,   41
  240,19920722,   21
  240,19920723,   15
  240,19920724,    5
  240,19920725,   21
  240,19920726,   36
  240,19920727,   46
  240,19920728,   36
  240,19920729,   26
  240,19920730,   26
  240,19920731,   51
  240,19920801,   31
  240,19920802,   57
  240,19920803,   72
  240,19920804,   57
  240,19920805,   62
  240,19920806,   21
  240,19920807,   36
  240,19920808,   31
  240,19920809,   31
  240,19920810,   36
  240,19920811,   57
  240,19920812,   82
  240,19920813,   72
  240,19920814,   46
  240,19920815,   21
  240,19920816,   46
  240,19920817,   46
  240,19920818,   21
  240,19920819,   10
  240,19920820,    5
  240,19920821,   41
  240,19920822,   26
  240,19920823,   46
  240,19920824,   46
  240,19920825,   87
  240,19920826,   62
  240,19920827,   72
  240,19920828,   57
  240,19920829,   31
  240,19920830,   77
  240,19920831,   36
  240,19920901,   57
  240,19920902,   87
  240,19920903,   67
  240,19920904,   51
  240,19920905,   46
  240,19920906,   46
  240,19920907,   41
  240,19920908,   51
  240,19920909,   51
  240,19920910,   31
  240,19920911,   51
  240,19920912,   31
  240,19920913,   36
  240,19920914,   41
  240,19920915,   72
  240,19920916,   31
  240,19920917,   46
  240,19920918,   26
  240,19920919,   31
  240,19920920,   10
  240,19920921,   41
  240,19920922,   41
  240,19920923,   67
  240,19920924,   62
  240,19920925,   46
  240,19920926,   36
  240,19920927,   36
  240,19920928,   26
  240,19920929,    5
  240,19920930,   15
  240,19921001,   21
  240,19921002,   15
  240,19921003,   62
  240,19921004,  103
  240,19921005,   98
  240,19921006,   93
  240,19921007,   57
  240,19921008,   15
  240,19921009,   36
  240,19921010,   36
  240,19921011,   26
  240,19921012,   57
  240,19921013,   21
  240,19921014,   62
  240,19921015,   77
  240,19921016,   46
  240,19921017,   46
  240,19921018,   51
  240,19921019,   57
  240,19921020,   36
  240,19921021,   10
  240,19921022,   41
  240,19921023,   36
  240,19921024,   57
  240,19921025,   15
  240,19921026,   15
  240,19921027,   51
  240,19921028,   62
  240,19921029,   21
  240,19921030,    5
  240,19921031,   41
  240,19921101,   72
  240,19921102,   98
  240,19921103,   57
  240,19921104,   46
  240,19921105,   57
  240,19921106,   62
  240,19921107,   57
  240,19921108,   10
  240,19921109,   57
  240,19921110,   57
  240,19921111,   57
  240,19921112,  108
  240,19921113,   67
  240,19921114,   10
  240,19921115,   46
  240,19921116,   51
  240,19921117,   67
  240,19921118,   62
  240,19921119,  113
  240,19921120,   67
  240,19921121,   31
  240,19921122,   77
  240,19921123,   82
  240,19921124,   46
  240,19921125,   93
  240,19921126,   93
  240,19921127,   62
  240,19921128,   51
  240,19921129,   41
  240,19921130,   82
